experiment_type,experiment_id,timestamp,scheduler,prediction_mode,batch_size,interval,num_requests,num_frames,mean_excess_latency_s,mean_percent_excess,total_energy_j,requests_per_joule,frames_per_joule,max_temperature_c,mean_temperature_c,min_temperature_c,max_gpu_freq_mhz,avg_gpu_freq_mhz,min_gpu_freq_mhz,num_time_out,percent_time_out,percent_requests_within_constraint,percent_frames_within_constraint,percent_completed_frames_within_constraint,mean_excess_latency_adj_s,mean_percent_excess_adj,percent_requests_within_adj,percent_frames_within_adj,percent_completed_frames_within_adj
fixed_batch_16,4,2025-02-08 03:39:45,Fixed Batch Scheduler,,16.0,,489,1989,1.2979874016352788,33.205593870905886,2285.645,0.8702138783581878,0.8702138783581878,50.5,48.38333333333333,46.5,1377,1195.3510638297873,114,0,0.0,66.31473102061337,66.31473102061337,66.31473102061337,0.8389480018807512,23.424122946044335,75.31422825540473,75.31422825540473,75.31422825540473
fixed_batch_32,4,2025-02-08 03:47:12,Fixed Batch Scheduler,,32.0,,489,1989,5.58252129835241,101.78319015676104,2254.445,0.8822570521791394,0.8822570521791394,51.0,48.211888111888115,46.5,1377,1144.8909090909092,114,0,0.0,30.920060331825038,30.920060331825038,30.920060331825038,3.6889056153966298,72.28269745848765,44.042232277526395,44.042232277526395,44.042232277526395
interval_0.2,4,2025-02-08 02:59:50,Interval Scheduler,,,0.2,489,1989,13.60597679613822,211.1700233730034,2760.5254,0.7205150150040278,0.7205150150040278,49.0,45.76346153846154,43.0,1377,1225.8596153846154,114,0,0.0,47.20965309200603,47.20965309200603,47.20965309200603,13.450084601819906,208.5021583999711,47.3604826546003,47.3604826546003,47.3604826546003
interval_0.5,4,2025-02-08 03:07:52,Interval Scheduler,,,0.5,489,1989,105.14219324920852,1421.044317156549,4073.6082,0.48826492444707864,0.48826492444707864,49.5,47.03751399776036,45.0,1377,1262.9316909294512,114,790,39.71845148315737,14.429361488185016,14.429361488185016,23.936613844870724,104.95970784470475,1418.5934005099484,14.429361488185016,14.429361488185016,23.936613844870724
interval_1,4,2025-02-08 03:20:05,Interval Scheduler,,,1.0,489,1989,91.62361013179049,1025.9002200238365,3760.8160000000003,0.5288745846646047,0.5288745846646047,49.5,47.47705223880597,45.5,1377,1233.5503731343283,114,1368,68.77828054298642,11.26194067370538,11.26194067370538,36.07085346215781,91.47427426536302,1024.1960367621937,11.463046757164404,11.463046757164404,36.71497584541063
transparent,4,2025-02-08 02:52:37,No Scheduler,,,,489,1989,1.6770426361569213,28.788607884188544,2451.8098,0.8112374785352436,0.8112374785352436,47.5,43.84475055845123,41.5,1377,1214.3566641846612,114,0,0.0,73.25289089994972,73.25289089994972,73.25289089994972,1.5827031034869485,27.193760667131606,73.70537958773254,73.70537958773254,73.70537958773254
loud_prof,4,2025-02-08 04:02:02,Our Scheduler,prof,,,489,1989,3.5868008702528904,52.707805290991196,1940.9498000000003,1.024756024086764,1.024756024086764,50.0,47.811152416356876,46.0,1377,849.1970260223048,114,0,0.0,50.52790346907994,50.52790346907994,50.52790346907994,2.3144880733518756,35.73543369210387,62.89592760180995,62.89592760180995,62.89592760180995
loud_pred,4,2025-02-08 03:54:45,Our Scheduler,pred,,,489,1989,3.636245420915269,56.076218447505774,1850.3168000000003,1.0749510570298015,1.0749510570298015,50.0,47.83483483483484,46.5,1032,759.4767267267267,114,0,0.0,43.48919054801408,43.48919054801408,43.48919054801408,2.233323590871735,36.73409465279421,61.990950226244344,61.990950226244344,61.990950226244344
fixed_batch_8,5,2025-02-08 05:08:28,Fixed Batch Scheduler,,8.0,,1368,3551,21.84422802247303,381.5610569438253,3403.6294,1.0432980746963816,1.0432980746963816,49.5,46.671302356020945,45.5,1377,446.42277486910996,114,2144,60.37735849056604,11.827654181920586,11.827654181920586,29.850746268656714,21.228754673261722,370.30392513429524,13.066741762883694,13.066741762883694,32.97796730632552
fixed_batch_16,5,2025-02-08 05:22:27,Fixed Batch Scheduler,,16.0,,1368,3551,24.35506865829129,440.3998155083854,3359.0404000000003,1.0571471542884687,1.0571471542884687,49.5,46.10591696632886,44.5,1377,450.08532200065383,114,2064,58.12447197972402,10.3914390312588,10.3914390312588,24.815063887020848,23.190122557359807,418.70177280523967,12.50352013517319,12.50352013517319,29.858776059179554
fixed_batch_32,5,2025-02-08 05:36:27,Fixed Batch Scheduler,,32.0,,1368,3551,23.090147485858516,417.0277783645976,3343.1732,1.0621645327857976,1.0621645327857976,48.5,45.486120182887,44.0,1377,467.43762246897455,114,2107,59.3353984793016,6.730498451140524,6.730498451140524,16.55124653739612,20.64570285517753,371.7700905885574,10.250633624331176,10.250633624331176,25.20775623268698
interval_0.2,5,2025-02-08 04:24:28,Interval Scheduler,,,0.2,1368,3551,117.6394256538565,1849.7874271227192,4922.792,0.7213386224727756,0.7213386224727756,50.5,45.586915887850466,41.5,1377,1261.0239252336448,114,371,10.44776119402985,12.588003379329765,12.588003379329765,14.056603773584905,117.42204818731584,1846.1843828193191,12.841453111799492,12.841453111799492,14.339622641509434
interval_0.5,5,2025-02-08 04:36:41,Interval Scheduler,,,0.5,1368,3551,120.8425525072588,1861.404571817484,6413.0836,0.5537117900661703,0.5537117900661703,54.0,47.64794935315167,44.5,1377,1279.2526837324526,114,2555,71.9515629400169,3.3511686848774995,3.3511686848774995,11.947791164658634,120.6296198063586,1857.7537127245448,3.4074908476485497,3.4074908476485497,12.14859437751004
interval_1,5,2025-02-08 04:52:28,Interval Scheduler,,,1.0,1368,3551,121.23034873118556,2062.9825665697404,5184.6867999999995,0.6849015450653645,0.6849015450653645,49.5,46.228455284552844,43.5,1377,1252.6132791327914,114,3030,85.32807659814137,2.168403266685441,2.168403266685441,14.779270633397312,121.00251763713567,2058.5179117428015,2.168403266685441,2.168403266685441,14.779270633397312
transparent,5,2025-02-08 04:09:24,No Scheduler,,,,1368,3551,85.04552293822917,1215.7243072900635,3933.8364000000006,0.9026811587792516,0.9026811587792516,51.5,44.30494011976048,40.5,1377,479.8691616766467,114,2334,65.72796395381583,13.292030413967895,13.292030413967895,38.78389482333608,84.9068204832743,1213.329821472578,13.573641227823149,13.573641227823149,39.60558751027116
