Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
118,26.5528,1.193697,90.0988,31.695997701600003
119,26.4785,1.2196879999999999,91.1023,32.295508708
120,26.2844,1.225479,92.424,32.210980227600004
121,26.5266,1.229017,92.4003,32.601642352199995
122,26.3533,1.243234,92.4168,32.7633185722
123,26.44481,1.2851869999999999,93.7148,33.98652602947
124,26.47525,1.291232,94.5292,34.185690007999995
125,26.2174,1.260193,94.3981,33.0389839582
126,26.255599999999998,1.282964,93.7371,33.684989598399994
127,26.512,1.2966579999999999,96.0824,34.376996895999994
128,26.85805,1.3356329999999998,96.75,35.87249789564999
