scheduler_type;throughput_level;scenario_id;timestamp;device;num_requests;num_frames;mean_excess_latency_s;mean_percent_excess;total_energy_j;requests_per_joule;frames_per_joule;max_temperature_c;mean_temperature_c;min_temperature_c;max_gpu_freq_mhz;avg_gpu_freq_mhz;min_gpu_freq_mhz;num_time_out;percent_time_out;percent_requests_within_constraint;percent_frames_within_constraint;percent_completed_frames_within_constraint
loud_prof;40;t40_s1;2025-09-27_16:16:15;nano0;3298;3298;0,8286117598544573;5,308730467967023;460,0502;7,168782884998202;7,168782884998202;26,5;22,941276306856754;21,5;921;136,71147318397828;76;0;0,0;85,961188599151;85,961188599151;85,961188599151
loud_prof;40;t40_s1;2025-09-27_16:16:15;nano1;3298;3298;0,8286117598544573;5,308730467967023;458,01140000000004;7,200694131194114;7,200694131194114;30,0;26,68469387755102;26,0;921;136,46938775510205;76;0;0,0;85,961188599151;85,961188599151;85,961188599151
loud_prof;40;t40_s1;2025-09-27_16:16:15;nx0;3298;3298;0,8286117598544573;5,308730467967023;1385,2676000000001;2,380767441612003;2,380767441612003;47,0;42,690807799442894;40,0;1007;446,4700557103064;114;0;0,0;85,961188599151;85,961188599151;85,961188599151
loud_prof;40;t40_s1;2025-09-27_16:16:15;nx1;3298;3298;0,8286117598544573;5,308730467967023;1147,031;2,8752492304044095;2,8752492304044095;45,0;42,16058906030855;41,0;1007;236,16970546984572;114;0;0,0;85,961188599151;85,961188599151;85,961188599151
loud_prof;40;t40_s2;2025-09-27_16:30:55;agx;1273;1273;0,0;0,0;1651,1258;0,77098910331363;0,77098910331363;45,5;43,932282793867124;43,5;905;541,1669505962521;114;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s2;2025-09-27_16:30:55;nano0;1273;1273;0,0;0,0;276,5562;4,603042708859899;4,603042708859899;23,5;21,822898799313894;21,0;76;76,0;76;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s2;2025-09-27_16:30:55;nano1;1273;1273;0,0;0,0;282,34760000000006;4,508626954859896;4,508626954859896;27,0;25,90401023890785;25,0;76;76,0;76;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s2;2025-09-27_16:30:55;nx0;1273;1273;0,0;0,0;852,3806000000001;1,4934643045606621;1,4934643045606621;43,5;42,18125;41,5;1007;255,12589285714284;114;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s2;2025-09-27_16:30:55;nx1;1273;1273;0,0;0,0;720,6802;1,7663868106824636;1,7663868106824636;42,5;41,07040998217469;40,0;1007;138,67290552584672;114;0;0,0;100,0;100,0;100,0
loud_prof;40;t40_s3;2025-09-27_16:44:39;agx;3815;3815;1,0494828393184799;9,0298494908691;2048,2778;1,8625403253406352;1,8625403253406352;47,0;44,760098928276996;43,5;1032;754,6586974443528;114;0;0,0;83,82699868938401;83,82699868938401;83,82699868938401
loud_prof;40;t40_s3;2025-09-27_16:44:39;nano0;3815;3815;1,0494828393184799;9,0298494908691;468,09580000000005;8,150041081334205;8,150041081334205;27,0;22,98357963875205;21,5;921;277,4433497536946;76;0;0,0;83,82699868938401;83,82699868938401;83,82699868938401
loud_prof;40;t40_s3;2025-09-27_16:44:39;nano1;3815;3815;1,0494828393184799;9,0298494908691;432,9026;8,812605884094944;8,812605884094944;29,5;26,50653594771242;25,5;921;231,11601307189542;76;0;0,0;83,82699868938401;83,82699868938401;83,82699868938401
loud_prof;40;t40_s3;2025-09-27_16:44:39;nx0;3815;3815;1,0494828393184799;9,0298494908691;1750,1214000000002;2,1798487807760076;2,1798487807760076;47,5;44,35429936305732;41,5;1109;897,8081210191083;114;0;0,0;83,82699868938401;83,82699868938401;83,82699868938401
loud_prof;40;t40_s3;2025-09-27_16:44:39;nx1;3815;3815;1,0494828393184799;9,0298494908691;1090,5714;3,4981661906776575;3,4981661906776575;45,0;42,51871880199667;41,0;1007;456,8594009983361;114;0;0,0;83,82699868938401;83,82699868938401;83,82699868938401
loud_prof;40;t40_s4;2025-09-27_16:59:19;agx;1352;1352;0,0685095650887574;3,3105137025980342;2038,5976;0,6632010162280187;0,6632010162280187;46,0;43,354607508532425;42,5;1032;316,93788395904437;114;0;0,0;95,85798816568047;95,85798816568047;95,85798816568047
loud_prof;40;t40_s4;2025-09-27_16:59:19;nano0;1352;1352;0,0685095650887574;3,3105137025980342;392,1138;3,44797862253254;3,44797862253254;24,0;22,47563486616335;21,5;921;111,12422786547701;76;0;0,0;95,85798816568047;95,85798816568047;95,85798816568047
loud_prof;40;t40_s4;2025-09-27_16:59:19;nano1;1352;1352;0,0685095650887574;3,3105137025980342;395,7604;3,4162083927548084;3,4162083927548084;28,0;26,0218878248974;25,0;921;110,3782489740082;76;0;0,0;95,85798816568047;95,85798816568047;95,85798816568047
loud_prof;40;t40_s4;2025-09-27_16:59:19;nx0;1352;1352;0,0685095650887574;3,3105137025980342;1566,0486;0,8633193120571098;0,8633193120571098;47,0;44,327621658670324;41,5;1007;580,9862919808088;114;0;0,0;95,85798816568047;95,85798816568047;95,85798816568047
loud_prof;40;t40_s4;2025-09-27_16:59:19;nx1;1352;1352;0,0685095650887574;3,3105137025980342;961,7564;1,4057613757496181;1,4057613757496181;42,0;41,300213675213676;41,0;1007;181,47507122507122;114;0;0,0;95,85798816568047;95,85798816568047;95,85798816568047
loud_pred;50;t50_s0;2025-09-27_17:07:12;agx;1518;1518;0,0011921119894598153;0,1183884555034244;1923,1692000000003;0,7893221251671458;0,7893221251671458;44,5;43,00069783670621;42,5;1032;488,0369853454292;114;0;0,0;99,67061923583663;99,67061923583663;99,67061923583663
loud_pred;50;t50_s0;2025-09-27_17:07:12;nano0;1518;1518;0,0011921119894598153;0,1183884555034244;337,7354;4,494642847625685;4,494642847625685;23,5;22,56144662921348;21,5;76;76,0;76;0;0,0;99,67061923583663;99,67061923583663;99,67061923583663
loud_pred;50;t50_s0;2025-09-27_17:07:12;nano1;1518;1518;0,0011921119894598153;0,1183884555034244;346,94;4,375396322130628;4,375396322130628;27,5;26,073509015256587;25,5;76;76,0;76;0;0,0;99,67061923583663;99,67061923583663;99,67061923583663
loud_pred;50;t50_s0;2025-09-27_17:07:12;nx0;1518;1518;0,0011921119894598153;0,1183884555034244;1562,9124000000002;0,9712636485576542;0,9712636485576542;47,0;44,416550279329606;41,0;1007;652,6194134078212;114;0;0,0;99,67061923583663;99,67061923583663;99,67061923583663
loud_pred;50;t50_s0;2025-09-27_17:07:12;nx1;1518;1518;0,0011921119894598153;0,1183884555034244;960,1194;1,5810533564887865;1,5810533564887865;42,5;41,45395683453238;40,5;905;206,1884892086331;114;0;0,0;99,67061923583663;99,67061923583663;99,67061923583663
loud_pred;50;t50_s1;2025-09-27_17:22:51;agx;2454;2454;1,074920328443358;20,07465804963617;2520,3862000000004;0,9736603065038206;0,9736603065038206;45,0;42,62638274336283;42,0;1032;438,3241150442478;114;0;0,0;72,08638956805216;72,08638956805216;72,08638956805216
loud_pred;50;t50_s1;2025-09-27_17:22:51;nano0;2454;2454;1,074920328443358;20,07465804963617;639,2254;3,8390214156070765;3,8390214156070765;24,5;21,997520661157026;20,5;921;187,85840220385674;76;0;0,0;72,08638956805216;72,08638956805216;72,08638956805216
